DATE,USEPUINDXD
2011-06-28,101.97000
2011-06-29,132.50000
2011-06-30,128.68000
2011-07-01,75.90000
2011-07-02,73.02000
2011-07-03,163.12000
2011-07-04,100.21000
2011-07-05,118.28000
2011-07-06,134.79000
2011-07-07,99.83000
2011-07-08,199.44000
2011-07-09,265.12000
2011-07-10,149.09000
2011-07-11,250.81000
2011-07-12,187.56000
2011-07-13,129.06000
2011-07-14,170.74000
2011-07-15,163.60000
2011-07-16,152.65000
2011-07-17,216.46000
2011-07-18,99.15000
2011-07-19,136.40000
2011-07-20,116.97000
2011-07-21,121.99000
2011-07-22,199.37000
2011-07-23,355.29000
2011-07-24,305.80000
2011-07-25,338.91000
2011-07-26,266.01000
2011-07-27,261.74000
2011-07-28,254.85000
2011-07-29,291.21000
2011-07-30,487.28000
2011-07-31,320.02000
2011-08-01,329.02000
2011-08-02,490.89000
2011-08-03,356.20000
2011-08-04,130.12000
2011-08-05,189.76000
2011-08-06,323.25000
2011-08-07,319.21000
2011-08-08,476.87000
2011-08-09,443.48000
2011-08-10,305.99000
2011-08-11,230.29000
2011-08-12,359.28000
2011-08-13,226.53000
2011-08-14,285.02000
2011-08-15,253.66000
2011-08-16,203.84000
2011-08-17,146.26000
2011-08-18,173.87000
2011-08-19,252.25000
2011-08-20,224.34000
2011-08-21,345.06000
2011-08-22,232.55000
2011-08-23,230.60000
2011-08-24,194.72000
2011-08-25,123.67000
2011-08-26,215.31000
2011-08-27,184.23000
2011-08-28,147.46000
2011-08-29,178.83000
2011-08-30,146.00000
2011-08-31,152.92000
2011-09-01,252.61000
2011-09-02,234.96000
2011-09-03,570.11000
2011-09-04,263.98000
2011-09-05,281.88000
2011-09-06,245.23000
2011-09-07,185.20000
2011-09-08,316.78000
2011-09-09,277.01000
2011-09-10,192.66000
2011-09-11,160.25000
2011-09-12,157.25000
2011-09-13,315.92000
2011-09-14,271.84000
2011-09-15,224.41000
2011-09-16,237.76000
2011-09-17,136.73000
2011-09-18,268.06000
2011-09-19,247.22000
2011-09-20,216.69000
2011-09-21,189.98000
2011-09-22,112.34000
2011-09-23,112.93000
2011-09-24,108.74000
2011-09-25,228.42000
2011-09-26,273.93000
2011-09-27,207.28000
2011-09-28,148.13000
2011-09-29,100.61000
2011-09-30,106.29000
2011-10-01,99.06000
2011-10-02,165.91000
2011-10-03,171.61000
2011-10-04,183.46000
2011-10-05,143.93000
2011-10-06,67.52000
2011-10-07,141.09000
2011-10-08,150.56000
2011-10-09,158.26000
2011-10-10,136.10000
2011-10-11,170.18000
2011-10-12,95.29000
2011-10-13,144.00000
2011-10-14,393.25000
2011-10-15,94.38000
2011-10-16,168.41000
2011-10-17,88.96000
2011-10-18,110.32000
2011-10-19,104.70000
2011-10-20,153.42000
2011-10-21,106.79000
2011-10-22,144.36000
2011-10-23,121.69000
2011-10-24,99.31000
2011-10-25,127.73000
2011-10-26,128.20000
2011-10-27,73.65000
2011-10-28,123.53000
2011-10-29,58.87000
2011-10-30,115.53000
2011-10-31,106.27000
2011-11-01,85.57000
2011-11-02,82.60000
2011-11-03,74.38000
2011-11-04,101.41000
2011-11-05,159.90000
2011-11-06,123.34000
2011-11-07,65.81000
2011-11-08,102.30000
2011-11-09,98.42000
2011-11-10,146.92000
2011-11-11,191.23000
2011-11-12,222.04000
2011-11-13,141.87000
2011-11-14,186.38000
2011-11-15,116.71000
2011-11-16,161.74000
2011-11-17,113.76000
2011-11-18,100.23000
2011-11-19,101.25000
2011-11-20,199.89000
2011-11-21,175.43000
2011-11-22,230.78000
2011-11-23,176.33000
2011-11-24,87.27000
2011-11-25,165.18000
2011-11-26,123.34000
2011-11-27,165.74000
2011-11-28,120.85000
2011-11-29,100.85000
2011-11-30,90.16000
2011-12-01,115.59000
2011-12-02,184.64000
2011-12-03,134.05000
2011-12-04,270.31000
2011-12-05,180.69000
2011-12-06,101.98000
2011-12-07,168.73000
2011-12-08,89.75000
2011-12-09,176.26000
2011-12-10,197.01000
2011-12-11,355.02000
2011-12-12,270.45000
2011-12-13,198.44000
2011-12-14,167.64000
2011-12-15,106.34000
2011-12-16,164.61000
2011-12-17,97.99000
2011-12-18,186.08000
2011-12-19,235.34000
2011-12-20,203.98000
2011-12-21,180.75000
2011-12-22,137.25000
2011-12-23,204.63000
2011-12-24,235.44000
2011-12-25,288.84000
2011-12-26,255.97000
2011-12-27,219.79000
2011-12-28,133.43000
2011-12-29,170.36000
2011-12-30,140.77000
2011-12-31,193.99000
2012-01-01,419.03000
2012-01-02,217.29000
2012-01-03,200.32000
2012-01-04,159.76000
2012-01-05,92.24000
2012-01-06,134.12000
2012-01-07,108.81000
2012-01-08,218.93000
2012-01-09,126.95000
2012-01-10,84.34000
2012-01-11,168.32000
2012-01-12,111.69000
2012-01-13,162.32000
2012-01-14,55.13000
2012-01-15,175.45000
2012-01-16,128.39000
2012-01-17,147.06000
2012-01-18,103.11000
2012-01-19,185.30000
2012-01-20,118.88000
2012-01-21,183.79000
2012-01-22,233.12000
2012-01-23,158.58000
2012-01-24,163.32000
2012-01-25,284.94000
2012-01-26,124.86000
2012-01-27,94.26000
2012-01-28,71.47000
2012-01-29,191.71000
2012-01-30,125.16000
2012-01-31,92.52000
2012-02-01,123.13000
2012-02-02,103.72000
2012-02-03,145.63000
2012-02-04,89.01000
2012-02-05,138.03000
2012-02-06,153.87000
2012-02-07,103.69000
2012-02-08,106.66000
2012-02-09,93.89000
2012-02-10,168.02000
2012-02-11,76.07000
2012-02-12,133.04000
2012-02-13,91.89000
2012-02-14,122.49000
2012-02-15,65.95000
2012-02-16,128.40000
2012-02-17,180.16000
2012-02-18,92.34000
2012-02-19,155.64000
2012-02-20,128.48000
2012-02-21,109.80000
2012-02-22,119.14000
2012-02-23,58.20000
2012-02-24,66.25000
2012-02-25,133.22000
2012-02-26,168.38000
2012-02-27,87.58000
2012-02-28,73.57000
2012-02-29,51.90000
2012-03-01,91.38000
2012-03-02,66.24000
2012-03-03,76.54000
2012-03-04,93.62000
2012-03-05,74.99000
2012-03-06,73.46000
2012-03-07,90.74000
2012-03-08,54.01000
2012-03-09,76.37000
2012-03-10,77.02000
2012-03-11,134.93000
2012-03-12,130.28000
2012-03-13,59.01000
2012-03-14,101.42000
2012-03-15,83.56000
2012-03-16,106.65000
2012-03-17,92.84000
2012-03-18,99.13000
2012-03-19,105.58000
